identifier_omeka,item - public,item - featured,dateQualifier,digitalOrigin,physicalLocation,languageofCataloging,shelfLocator,note_filename,form,keyDate_start,place,relatedItem_Collection,dateCreated,title,language,dateCreated 1,name_primary,publisher,identifier_clio,typeOfResource,abstract,note_filename 2,relatedItem_Project,typeOfResource 2,location_url_ObjectInContext,note_ownership,accessCondition
6195,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,B320.1 H651,"original filename: 110119004.tif
",books,1651 ,London,,,"Leviathan, or, The matter, forme, & power of a common-wealth ecclesiasticall and civill. Frontispiece",eng,1651,"Hobbes, Thomas, 1588-1679",[Andrew Crooke],CLIO id: 3242930,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119004.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/hobbes/leviathan,,
6194,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1651E H652,"original filename: 110119003.tif
",books,1651 ,,,,"Leviathan, or, The matter, forme, & power of a common-wealth ecclesiasticall and civill. Title page",eng,[1651],"Hobbes, Thomas, 1588-1679",Andrew Crooke,,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119003.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/hobbes/leviathan,,
6193,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1651E H652,"original filename: 110119002.tif
",books,1651 ,,,,"Leviathan, or, The matter, forme, & power of a common-wealth ecclesiasticall and civill. Frontispiece",eng,[1651],"Hobbes, Thomas",Andrew Crooke,,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119002.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/hobbes/leviathan,,
6192,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,x88 Ar512/B88Ar51 IB62,"original filename: 110119001.tif
",books,1562 ,Venice,,,Aristotelis omnia quae extant opera. Title page,eng,1562,Aristotle,Apud Iunctas,CLIO id: 6151835,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119001.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6179,1,0,ex,rd,nnc-rb,eng,,,,,,,,Federalist #5 manuscript,eng,,,,,Still Image,,fed#5page1.jpeg|fed#5page2.jpeg,Core Curriculum: Contemporary Civilization,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions/amrev,,
6178,1,0,ex,rd,nnc-rb,eng,,,,,,,,"Galileo, Siderius",eng,,,,,Still Image,,Galileo-Siderius.jpeg,Core Curriculum: Contemporary Civilization,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/galileo/siderius,,
6177,1,0,ex,rd,nnc-rb,eng,,,,,,,,1473 Antiphonal,eng,,,,,Still Image,,1473Antiphonal.jpeg,Core Curriculum: Contemporary Civilization,,,,
6175,1,0,ex,rd,nnc-rb,eng,,,,,,,,"Freud, Totem und Tabu",ger,ca. 1912-1913,"Freud, Sigmund ",,,Still Image,,freud-totemtaboo.jpeg,Core Curriculum: Contemporary Civilization,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/freud/totemtaboo,,
6174,1,0,ex,rd,nnc-rb,eng,,,,,,,,Shakespeare's Ovid,eng,,,,,Still Image,,ShakesOvid.jpg,Core Curriculum: Contemporary Civilization,,,,
6173,1,0,ex,rd,nnc-rb,eng,,,,,,,,History of Don Quichote,eng,,,,,Still Image,,DQfrontispiece.jpg,Core Curriculum: Contemporary Civilization,,,,
6172,1,0,ex,rd,nnc-rb,eng,,,,,,,,1611 Barker Bible,eng,1611,"Barker, Robert","Robert Barker, printer to the King's Most Excellent Maiestie",,Still Image,,1611BarkerBible.jpeg,Core Curriculum: Contemporary Civilization,,,,
