identifier_omeka,physicalLocation,form,keyDate_start,digitalOrigin,languageOfCataloging,relatedItem_collection,shelfLocator,note,place,dateQualifier,title,dateCreated,language,name_primary,subject_topic,relatedItem_note,abstract,publisher,accessCondition,form 2,note_filename,relatedItem_Project,typeOfResource,relatedItem_title
8964,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [66]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148120.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8963,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [65]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148119.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8962,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [64]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148118.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8961,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [63]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148117.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8960,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [62]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148116.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8959,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [61]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148115.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8958,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [60]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148114.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8957,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [59]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148113.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8956,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [58]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148112.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8955,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [57]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148111.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8954,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [56]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148110.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8953,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [55]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148109.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8952,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [54]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148108.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8951,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [53]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148107.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8950,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [52]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148106.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8949,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [51]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148105.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8948,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [50]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148104.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8947,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [49]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148103.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8946,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [48]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148102.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8945,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [47]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148101.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8944,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [46]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148100.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8943,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [45]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148099.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8942,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [44]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148098.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8941,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [43]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148097.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8940,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [42]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148096.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8939,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [41]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148095.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8938,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 2,  page [40]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148094.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8937,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [39]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148093.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8936,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [38]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148092.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
