relatedItem_collection,relatedItem_collection 2,name,nameType,nameRelator,name_authority,name_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,dateCreated 2,abstract,item - public,item - featured,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,physicalLocation 2,shelfLocator,shelfLocator 2,sublocation,note_filename,note_filename 2,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,Source 1,Source 2,Coverage,accessCondition,accessCondition 2,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,title_nonsort,title1,partName,identifier_title,title2_nonsort,title2,title2_type
,,"Hosmer, G. W. ",,,,,,,,13-Apr-09,,,1,0,,2977,Still Image,"Original Format: Autograph letter, signed",,,,,,,Box 50,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018066a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",[New York],,,,,,,,,,,,,,,,,,,,,1929,,"Autograph letter, signed, to Joseph Pulitzer, page 2",,,,,
,,"Hosmer, G. W. ",,,,,,,,13-Apr-09,,,1,0,,2976,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/panama-canal-libel-case,,,,Box 50,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018066,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",[New York],,,,,,,,,,,,,,,,,,,,,1929,,"Autograph letter, signed, to Joseph Pulitzer, page 1",,,,,
,,"Firestone, Clark B. ",,,,,,,,4-Aug-11,,,1,0,,2975,Still Image,Original Format: Manuscript Report ,,,,,,,Box 52,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018065a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library","On board ""Liberty""",,,,,,,,,,,,,,,,,,,,,2772,,Manuscript Report on a World Editorial Talk [by Joseph Pulitzer],,,,,
,,"Firestone, Clark B. ",,,,,,,,4-Aug-11,,,1,0,,2974,Still Image,Original Format: Manuscript Report ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/drum-major,,,,Box 52,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018065,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library","On board ""Liberty""",,,,,,,,,,,,,,,,,,,,,2772,,Manuscript Report on a World Editorial Talk [by Joseph Pulitzer],,,,,
,,"Pulitzer, Joseph ",,,,,,,,[1908],,,1,0,,2973,Still Image,Original Format: Manuscript memo ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/drum-major,,,,Box 46,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018064a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",no place,,,,,,,,,,,,,,,,,,,,,1908,,Manuscript memo on editorial view regarding 1908 elections,,,,,
,,"Pulitzer, Joseph ",,,,,,,,[1908],,,1,0,,2972,Still Image,Original Format: Manuscript memo ,,,,,,,Box 46,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018064,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",no place,,,,,,,,,,,,,,,,,,,,,1908,,Manuscript memo on editorial view regarding 1908 elections,,,,,
,,"Rogers, William A. ",,,,,,,ex,"September 4, 1910",,,1,0,,2971,Still Image,Original Format: Magazine tearsheets,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/drum-major,nnc-rb,,,World Papers Box 33,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018063,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1910-09-04 ,,Tom's Dream,,,,,
,,"Seitz, Don C. ",,,,,,,ex,"November 18, 1898",,,1,0,,2970,Still Image,Original Format: Typed document ,,eng,,nnc-rb,,,World Papers Box 11,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018062a,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1898-11-18 ,,"Memo for Mr. Pulitzer on Mr. Norris' Comparison of World and Journal Revenues, page 2",,,,,
,,"Seitz, Don C. ",,,,,,,ex,"November 18, 1898",,,1,0,,2969,Still Image,Original Format: Typed document ,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/rivalry-with-hearst,nnc-rb,,,Box 11,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018062,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1898-11-18 ,,"Memo for Mr. Pulitzer on Mr. Norris' Comparison of World and Journal Revenues, page 1",,,,,
,,"Norris, John",,,,,,,,"November 14, 1898",,,1,0,,2968,Still Image,Original Format: Typed document ,,,,,,,Box 11,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018061d,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1898-11-14 ,,Typed Memorandum Journal & World Revenues Compared,,,,,
