omeka_identifier-1:omeka_identifier_value,_identifiers-1,_digital_object_type.string_key,title-1:title_sort_portion,abstract-1:abstract_value,object_in_context_url-1:object_in_context_url_value,note-1:note_value,note-1:note_type,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_type,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,digital_origin-1:digital_origin_value,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-2:location_shelf_location-2:location_shelf_location_free_text,location-3:location_shelf_location-3:location_shelf_location_free_text,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.uri,extent-1:extent_value,note-2:note_value,note-:note_type,use_and_reproduction-1:use_and_reproduction_value
omeka_5527,1968ColumbiaCrisis_hjg_000,asset,Page 4,"Newspaper, Up Against the Wall, Vol III, no. 1, page 4",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044012,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5565,1968ColumbiaCrisis_htq,item,Cox Commission Report,"Cover of the paperback copy of the Cox Commission Report entitled ""Crisis at Columbia"" ",,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,corporation reports,aat,http://vocab.getty.edu/aat/300027275,reformatted digital ,"Box 4, Folder 29",Box 4,Folder 29,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 7.25""x4.25""",,,
omeka_5565,1968ColumbiaCrisis_htq_000,asset,Cox Commission Report,"Cover of the paperback copy of the Cox Commission Report entitled ""Crisis at Columbia"" ",https://exhibitions.cul.columbia.edu/exhibits/show/1968/consequences/cox,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044050,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5533,1968ColumbiaCrisis_hxm,item,SDS Calendar,"SDS Calendar Vol. II, no. 5. Typewritten calendar of events for the week of April 22, 1968 - before students knew they'd be taking over buildings that week.",,,,1968-04-22,1968-04-27,22-27 April 1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 15, Folder 37",Box 15,Folder 37,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5533,1968ColumbiaCrisis_hxm_000,asset,SDS Calendar,"SDS Calendar Vol. II, no. 5. Typewritten calendar of events for the week of April 22, 1968 - before students knew they'd be taking over buildings that week.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/timeline/timeline1,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044018,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5589,1968ColumbiaCrisis_hzz,item,"Columbia Daily Spectator, 9/25/67","The Columbia Daily Spectator. 25 September 1967, front page and page two.",,,,1967-09-25,,25-Sep-67,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1967-1968,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 16""x11.25""",,,
omeka_5589,1968ColumbiaCrisis_hzz_001,asset,Page 1,"The Columbia Daily Spectator. 25 September 1967, front page and page two.",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044074,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5589,1968ColumbiaCrisis_hzz_002,asset,Page 2,"The Columbia Daily Spectator. 25 September 1967, front page and page two.",,Spectator Sept67 Page 2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5632,1968ColumbiaCrisis_igh,item,Marine Corps Recruiting Protests,"April 21, 1967 protests against marine corps recruiting on campus outside Hamilton Hall.",,,,1967-04-21,,21-Apr-67,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,"Binder 2, Roll 74",,,Office of Public Affairs Protest & Activism Photograph Collection,Collection number: UA#109,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,,,,,,,,,,
omeka_5632,1968ColumbiaCrisis_igh_000,asset,Marine Corps Recruiting Protests,"April 21, 1967 protests against marine corps recruiting on campus outside Hamilton Hall.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/recruiting,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_capa_1589,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
