item - public,item - itemId,item - featured,item - MODS - FormGenre,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - DublinCore - Source,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Date,item - DublinCore - Coverage,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Language,item - DublinCore - Description,item - DublinCore - Publisher,item - AdditionalItemMetadata - Provenance ,item - AdditionalItemMetadata - TemporalCoverage,item - AdditionalItemMetadata - RightsHolder,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - PublicationDate,item - MODS - ShelfLocation,item - MODS - PublicationPlace,item - MODS - Collection,item - OmekaCollection,item - ItemType,item - ItemType - text,item - ItemInContext,project URL
1,2970,0,manuscripts,1898-11-18,,,,Memo for Mr. Pulitzer on Mr. Norris' Comparison of World and Journal Revenues. Page 2,Memo for Mr. Pulitzer on Mr. Norris' Comparison of World and Journal Revenues,Page 2,,,"November 18, 1898",New York,"Seitz, Don Carlos, 1862-1935",,eng,,,"Gift of Joseph Pulitzer, Jr.",1898-11-18,,original filename: pulitzer_100018062a,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,World Papers Box 11,,World records,Joseph Pulitzer and The World,still image,Original Format: Typed document,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2969,0,manuscripts,1898-11-18,,,,Memo for Mr. Pulitzer on Mr. Norris' Comparison of World and Journal Revenues. Page 1,Memo for Mr. Pulitzer on Mr. Norris' Comparison of World and Journal Revenues,Page 1,,,"November 18, 1898",New York,"Seitz, Don Carlos, 1862-1935",,eng,,,"Gift of Joseph Pulitzer, Jr.",1898-11-18,,original filename: pulitzer_100018062,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 11,,World records,Joseph Pulitzer and The World,still image,Original Format: Typed document,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/the-world/rivalry-with-hearst,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2968,0,corporation reports,1898-11-14,,,,Typed Memorandum Journal & World Revenues Compared,Typed Memorandum Journal & World Revenues Compared,,"World (New York, N.Y. : 1860-1931)",,"November 14, 1898",New York,"Norris, John",,eng,,,"Gift of Joseph Pulitzer, Jr.",1898-11-14,,original filename: pulitzer_100018061d,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 11,,World records,Joseph Pulitzer and The World,still image,Original Format: Typed document,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2967,0,corporation reports,1898-11-14,,,,Typed Memorandum Journal & World Revenues Compared,Typed Memorandum Journal & World Revenues Compared,,"World (New York, N.Y. : 1860-1931)",,"November 14, 1898",New York,"Norris, John",,eng,,,"Gift of Joseph Pulitzer, Jr.",1898-11-14,,original filename: pulitzer_100018061c,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 11,,World records,Joseph Pulitzer and The World,still image,Original Format: Typed document,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2966,0,corporation reports,1898-11-14,,,,Typed Memorandum Journal & World Revenues Compared,Typed Memorandum Journal & World Revenues Compared,,"World (New York, N.Y. : 1860-1931)",,"November 14, 1898",New York,"Norris, John",,eng,,,"Gift of Joseph Pulitzer, Jr.",1898-11-14,,original filename: pulitzer_100018061b,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 11,,World records,Joseph Pulitzer and The World,still image,Original Format: Typed document,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2965,0,corporation reports,1898-11-14,,,,Typed Memorandum Journal & World Revenues Compared,Typed Memorandum Journal & World Revenues Compared,,"World (New York, N.Y. : 1860-1931)",,"November 14, 1898",New York,"Norris, John",,eng,,,"Gift of Joseph Pulitzer, Jr.",1898-11-14,,original filename: pulitzer_100018061a,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 11,,World records,Joseph Pulitzer and The World,still image,Original Format: Typed document,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2964,0,corporation reports,1898-11-14,,,,Typed Memorandum Journal & World Revenues Compared,Typed Memorandum Journal & World Revenues Compared,,"World (New York, N.Y. : 1860-1931)",,"November 14, 1898",New York,"Norris, John",,eng,,,"Gift of Joseph Pulitzer, Jr.",1898-11-14,,original filename: pulitzer_100018061,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 11,,World records,Joseph Pulitzer and The World,still image,Original Format: Typed document,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/the-world/rivalry-with-hearst,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2963,0,manuscripts,1885-12-19,,,,Manuscript Account for legal services rendered by Roscoe Conkling to Joseph Pulitzer,Manuscript Account for legal services rendered by Roscoe Conkling to Joseph Pulitzer,,,,"December 19, 1885",New York,,,eng,,,"Gift of Joseph Pulitzer, Jr.",1885-12-19,,original filename: pulitzer_100018060,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 8,,World records,Joseph Pulitzer and The World,still image,Original Format: Manuscript document,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/litigation,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2962,0,correspondence,1886-04-12,,,,Autograph letter to Joseph Pulitzer,Autograph letter to Joseph Pulitzer,,,,"April 12, 1886",Albany (N.Y.),"Willers, Diedrich, 1833-1908",,eng,,,"Gift of Joseph Pulitzer, Jr.",1886-04-12,,original filename: pulitzer_100018059,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 6,,Joseph Pulitzer papers,Joseph Pulitzer and The World,still image,"Original Format: Autograph letter, signed",https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/drum-major,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2961,0,corporation reports,1899,,approximate,,Memorandum comparing The Journal and The Evening World,Memorandum comparing The Journal and The Evening World,,"World (New York, N.Y. : 1860-1931)",,circa 1899,New York,"Pulitzer, Ralph, 1879-1939",,eng,,,"Gift of Joseph Pulitzer, Jr.",,,original filename: pulitzer_100018058b,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 4,,Joseph Pulitzer papers,Joseph Pulitzer and The World,still image,Original Format: Autograph Manuscript,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
